,X0,X1,Date
0,17004.534045323668,4761.074038175044,2018-01-01
1,3056.9901813089327,-493.51896887731203,2018-01-02
2,3972.0427434778053,-3036.3384755247457,2018-01-03
3,3077.943253098527,-3030.6460894025963,2018-01-04
4,1274.5341858975758,169.30129697433685,2018-01-05
5,-1413.689284503118,1686.9006581167102,2018-01-06
6,3834.037165126935,-2851.177233588883,2018-01-07
7,-340.6552006162168,2189.3426110196556,2018-01-08
8,-2332.7388921738648,3220.517681730305,2018-01-09
9,-3801.4251218116724,1693.9268157872102,2018-01-10
10,-4212.737089265483,2937.720943302189,2018-01-11
11,-2978.2652202036975,4487.486715636737,2018-01-12
12,917.9304063270803,4004.1508222984326,2018-01-13
13,291.87384464519846,4872.68773348595,2018-01-14
14,700.2500404815318,-657.661905486374,2018-01-15
15,1888.3554310143857,-3083.020101285092,2018-01-16
16,218.29127885791647,-3903.1349388379344,2018-01-17
17,405.33244610182356,-3309.6045649308,2018-01-18
18,-1288.7423117905275,153.3045286747405,2018-01-19
19,288.27973511038016,-1952.9807228356099,2018-01-20
20,-1126.2897226552277,-2111.908684678814,2018-01-21
21,-1445.1044428763569,-3422.1208060893937,2018-01-22
22,-2295.874464713341,-1666.5563859208596,2018-01-23
23,485.7494346481729,-3446.183929331252,2018-01-24
24,-2515.344530557815,-32.44718662644007,2018-01-25
25,-6213.676632603297,-79.09606923826097,2018-01-26
26,-4247.469634476867,22.379173492836276,2018-01-27
27,197.55259139864583,637.4980803366959,2018-01-28
28,-840.9526565523885,1036.2385905689139,2018-01-29
29,-2872.7476907712335,3130.2586839088854,2018-01-30
30,312.01611275271915,-1926.3923108542506,2018-01-31
